decade,polityid,official labels 1,description,gemini15f_5l_phase,claude35s_5l_phase,gpt4_5l_phase,gemini15f_5l_explanation,claude35s_5l_explanation,gpt4_5l_explanation,gemini15f_3l_labels,claude35s_3l_labels,gpt4_3l_labels,gemini15f_3l_explanation,claude35s_3l_explanation,gpt4_3l_explanation,r1_3l_labels,r2 3l_labels,r3_3l_labels,r1_3l_explanation,r2_3l_explanation,r3_3l_explanation,r4_5l_label,r6_5l_label,r5_5l_labels,r4_5l_explanation,r5_5l_explanation,r6_5l_explanation,errors_llms_5l,errors_llms_3l,errors_hum_5l,errors_hum_3l
-700,ItRomRg,1,"Roman elite were rich noblemen (patrician) called to be horseman warriors (equites) and finance war when needed. population were mostly farmers (plebei) and etruscan merchants, but they had very advanced skills in metalworking (probably they knew how to produce steel) and military strategy. the main goal is to establish clear checks on the power of any single ruler",2,2,3,(immiseration) - Social structure,(immiseration) - Social stratification between patricians and plebeians,"(elite overproduction) - the emergence of elites, military financing",1,0,0,(apex) - Development of Roman institutions,"(rise) - Social structure development, military organization","(rise) - Development of equites class, military strategy evolves",0,0,0,population had very advanced skills in metalworking and military strategy.,Stablity. Roman elite were rich noblemen called to be horseman warriors and finance war when needed. Population were mostly farmers and etruscan merchants. ,Establish checks on the power of individual rulers,3,2,1,social division,production an social development,"military focus, checks on rules",,,politics and religion mixed,
-690,ItRomRg,2,"many of Rome s most important religious and political institutions are attributed to Numa Pompilius: the cult of Mars, the cult of Jupiter, the cult of Romulus, and the office of pontifex maximus (chief priest of Roman religion open to patrician only)",2,3,3,(immiseration) - Religious and political institutions under Numa.,(elite overproduction) - Religious institution building favoring patricians,(elite overproduction) - further development of religious institutions and power structures,1,0,0,(apex) - Religious and political institutions,(rise) - Religious/political institution strengthening,"(rise) - Institution of key religious, social and political systems",0,0,0,"the cult of Mars, the cult of Jupiter, the cult of Romulus, and the office of pontifex maximus",Important religious and political institution,Formations of new divine cults,3,2,1,politics and religion mixed,religion start,"Numa's religious reforms, pontifex maximus",,,religion start,
-680,ItRomRg,2,king Numa Pompilius promoted the cult of Vestal Virgins as a welfare and healthcare institution. possible urbanization. Religious inscriptions discovered at Lavinium.,3,3,4,(elite overproduction) - Urbanization,(elite overproduction) - Continued religious/institutional development,"(state stress) - suppression of religious practices, the policy of turning nobles into warriors",1,0,0,(apex) - Cult of Vestal Virgins,"(rise) - Cultural/religious development, urbanization","(rise) - Development of health and welfare systems, Urbanization",0,0,0,king Numa Pompilius promoted the cult of Vestal Virgins as a welfare and healthcare institution,Promotion of welfare and healthcare institution,"Formation of vestal cults, improvement of welfare and health institutions and possible urbanization",4,2,1,power  to religion,healthcare institution and welfare,"Vestal Virgins, healthcare, urbanization",,,"Numa's religious reforms, pontifex maximus",
-670,ItRomRg,3,"king Tullus Hostilius (r. 672–640 BC) was against religious practices and turned the nobilty into warriors. he waged war against Alba Longa, Fidenae, Veii and the Sabines.",3,4,4,(elite overproduction) - Tullus Hostilius's reign,"(state stress) - Military aggression under Tullus, tension with religious practices","(state stress) - military tensions, wars with neighboring tribes",2,1,1,"(decline) - Tullus Hostilius' reign, wars","(apex) - Military focus, expansion begins",(apex) - Shift from religious to militaristic practices,1,1,0,"war against Alba Longa, Fidenae, Veii and the Sabines",king Tullus Hostilius was against religious practices and turned the nobilty into warriors,"Transformation of religious cults into warmongers, Expansionist wars",0,3,2,war ,nobilty turned in to warriors,"Tullus Hostilus, military focus, war against Alba Longa",,,power  to religion,
-660,ItRomRg,4,battle for Alba Longa. king Tullio Hostilio ordered that triplets of champions from the cities of Alba Longa and Rome battle in mortal combat (Horatii and Curiatii) to save men for the army. Rome won and population of Alba Longa became Roman Citizens.,3,4,0,(elite overproduction) - Conquest of Alba Longa,"(state stress) - Continued warfare, absorption of Alba Longa","(crisis) - assassination of the king, the rise of a regent",2,1,1,(decline) - Conquest of Alba Longa,"(apex) - Territorial expansion, population integration",(apex) - Expansion via military victories,2,2,1,"mortal combat (Horatii and Curiatii), Rome won","Battle for Alba Longa, Rome won and population of Alba Longa became Roman Citizens","Wars won, Roman empire expanding",1,3,3,"rome wins, extending border",Alba Longa population unified with rome,"Rome wins, Alba Longa incorporated",,,healthcare institution and welfare,
-650,ItRomRg,4,"construction of the original Roman Senate House, the Curia Hostilia. After the incorporation of leaders from Alba Longa into the senate",3,4,1,(elite overproduction) - Construction of Curia Hostilia.,"(state stress) - Senate expansion, power consolidation","(growth) - building institutions, incorporation of important leaders into the senate",2,1,1,(decline) - Construction of Curia Hostilia,(apex) - Political institution building,"(apex) - Infrastructure development, signing of new senators",0,2,1,construction of the original Roman Senate House,construction of the original Roman Senate House,"Construction of the Roman Senate House, coronation of the leader Alba Longa in the Senate",1,3,4,politic rebuild,construction of the original Roman Senate,"senate expansion, elite power",,,"Vestal Virgins, healthcare, urbanization",
-640,ItRomRg,0,death of Tullio Hostilio by disease. For the population he was not keen to worship gods and has been punished by Jupiter.,4,0,1,(state stress) - Death of Tullus Hostilius,"(crisis) - Death of ruler, religious crisis","(growth) - the king restores and promotes traditional religious practices, cultural assimilation",2,1,1,(decline) - Death of Tullus Hostilius,(apex) - Political transition period,"(apex) - Death of king, likely from a power struggle",0,0,2,death of Tullio Hostilio by disease,death of Tullio Hostilio,Death of Tullio,1,3,0,death of tullio,death of tullio,"Tullus Hostilus death, punishment by Jupiter",,,war,
-630,ItRomRg,1,king Ancus Marcius (r.640–616 BC) restored the religious practices introduced by Numa Pompilius and promoted a cultural assimilation with the warrior culture of Romans. probably Rome becomes a unitary state in this period. Renew of the primary goal of the early Republic: to establish clear checks on the power of any single ruler,4,1,1,(state stress) - Ancus Marcius's reign,"(growth) - Religious restoration, cultural integration","(growth) - continual development, the institutionalisation of the checks on single ruler power",0,1,1,"(rise) - Ancus Marcius' reign, religious practices","(apex) - Cultural integration, state consolidation","(apex) - Power retrieved to a peaceful status, increase in cultural assimilation",0,1,0,"restored the religious practices introduced by Numa Pompilius, Rome becomes a unitary state",Rome becomes a unitary state in this period,"Coronation of Ancus Marzio, restoration of religious cults, transformation into a unitary state",1,4,1,"cultural develop, social unity",cultural assimilation,"Ancus Marcius restores religion, cultural assimilation, unitary state",,,nobilty turned in to warriors,
-620,ItRomRg,1,There was a port known as Caere 50km north west of Rome during the Roman Kingdom that is thought to have been built under Ancus Marcius. (Cornell T.J. 1995. The Beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars ),4,1,1,(state stress) - Construction of a port.,"(growth) - Infrastructure development, port construction","(growth) - the establishment of a port, further building of alliances",0,1,1,(rise) - Possible port construction,(apex) - Infrastructure development,(apex) - Expansion and further urban development,0,1,0,Ancus Marcius build a port,port thought to have been built under Ancus Marcius,Bronze Age and Punic Wars,1,4,1,port build,port built,Caere port construction,,,"Tullus Hostilus, military focus, war against Alba Longa",
-610,ItRomRg,1,king Lucius Tarquinius Priscus (r. 616–578 BC) had Etruscan origins and was adopted by Ancus Marcius. he is the first Roman king to ever actively succeed at lobbying for the throne with the senate.,4,2,2,(state stress) - Lucius Tarquinius Priscus's reign,(immiseration) - Power transition to Etruscan influence,"(immiseration) - consolidation of power, aggressive lobbying for the throne",1,2,2,(apex) - Lucius Tarquinius Priscus' reign,"(decline) - Power struggle begins, political manipulation","(decline) - Power taken by force, alliances to consolidate power",0,1,0,Lucius Tarquinius Priscus succeed at lobbying for the throne with the senate,Ancus Marcius king even if he had etruscan origins,New Roman king,1,4,1,aking approved fromsenate,firt king that the senat approve,"Lucius Tarquinius, senate lobbying, military expansion",,,politic rebuild,
-600,ItRomRg,2,"Lucius Tarquinius Priscus waged wars against the Sabines and Etruscans, doubling the size of Rome and bringing great treasures to the city. To accommodate the influx of population, the Aventine and Caelian hills were populated.",4,2,2,(state stress) -  Expansion,"(immiseration) - Territorial expansion, population pressures","(immiseration) - expanding territorial gains, incoming wealth, influx of population",1,2,2,"(apex) - Wars, expansion of Rome",(decline) - Territorial expansion masking internal issues,(decline) - Increase in military might and territorial expansion,0,1,1,Lucius Tarquinius Priscus doubling the size of Rome and bringing great treasures to the city,After war doubling the size of Rome and bringing great treasures to the city,Massive expansion of the Roman Empire,1,4,2,war win,influx of population,"Expansion, Sabine/Etruscan wars",,,construction of the original Roman Senate,
-590,ItRomRg,2,reforms to add 100 new members to the Senate from the conquered Etruscan tribes bringing the total number of senators to 200. the treasures were used for building the cloaca maxima (the large Roman sewer systems) after a flood,4,3,2,(state stress) - Expansion of the Senate,"(elite overproduction) - Senate expansion, new elite integration","(immiseration) - further reforms, socio-political changes",1,2,2,"(apex) - Senate expansion, Cloaca Maxima","(decline) - Elite expansion, infrastructure problems","(decline) - Increase in elite class through warfare, infrastructure development",1,1,1,"add 100 new members to the Senate, building the cloaca maxima","Reform to double the senators, the large Roman sewer systems was built",Enlargement of the senate for the management of the new territories,1,4,3,politics develop,senators increase,"Senate reforms, cloaca maxima construction",,,"senate expansion, elite power",
-580,ItRomRg,2,first construction of the Roman Forum and circus maximus for chariot races.,4,3,3,(state stress) - Construction of Forum and Circus Maximus.,(elite overproduction) - Major construction projects,"(elite overproduction) - public projects such as the Roman Forum and Circus, elite overproduction",1,2,2,(apex) - Construction of Forum and Circus Maximus,(decline) - Focus on entertainment infrastructure,"(decline) - Infrastructure development, consolidation of power, death of king through violence",1,1,1,Roman Forum and circus maximus,construction of the Roman Forum and circus maximus,Construction of decorative works,1,4,4,tecnivcal and infrasracture develope,construction of the roman forum,"Senate House, first expansion of senate",,,death of tullio,
-570,ItRomRg,3,"the sons of previous king Ancus Marcius organize a riot and kill king Lucius Tarquinius Priscus. However the Tarquinian family gave out that the king was merely wounded, and took advantage of the confusion to establish Servius Tullius (r.578–535 BC) as regent, later gained the throne by popular and royal support bypassing the senate",0,4,4,(crisis) - Assassination of Lucius Tarquinius Priscus,"(state stress) - Political violence, succession crisis","(state stress) - king's assassination, the rise of a regent, bypassing the senate",2,2,0,(decline) - Assassination of Lucius Tarquinius Priscus,"(decline) - Political violence, succession crisis","(rise) - Ends of power conflicts, re-establishment of social and religious norms",2,1,2,sons of previous king Ancus Marcius kills Lucius Tarquinius Priscus,Servius Tullius gained the throne by popular and royal support bypassing the senate,"Death of King Ancus Martius, new King Servius Tullius",1,4,0,king got murdered,politycs problems and holes,"royal support, assassination plot",,,death of tullio,
-560,ItRomRg,3,"king Servius Tullius was a popular king, a former slave of Etruscan origins one of Rome's most significant benefactors. He had military successes against Veii and the Etruscans.",1,4,4,(growth) - Servius Tullius's reign,"(state stress) - Military campaigns, social reforms",(state stress) - the king's popular rule and military success,2,0,0,(decline) - Servius Tullius' reign,"(rise) - New dynasty, popular reforms","(rise) - Reinforcement of social legislation, increase of unity",0,1,0,king Servius Tullius had military successes against Veii and the Etruscans,military successes,"Approval of the king, military successes, expansion of the empire",1,4,1,"slave, conquest",popular king tullius,"Servius Tullius' military victories, land redistribution",,,"Tullus Hostilus death, punishment by Jupiter",
-550,ItRomRg,3,king Servius Tullius instituted the first census. divided the population into five economic classes and formed the Centuriate Assembly (extends the curiate assembly to the representataives of the population). he also distributed land grants to poors to gain popular support. he stimulated elite overproduction.,1,4,4,(growth) - Census,"(state stress) - Census creation, class division formalization","(state stress) - introduction of census, formation of Centuriate Assembly",2,0,0,"(decline) - Census, class divisions","(rise) - Social reforms, institutional development",(rise) - Innovations in social organization and military strategy,0,1,1,"Centuriate Assembly, Servius Tullius stimulated elite overproduction",Distribution of land grants to poors to gain popular support. The king divided the population into five economic classes and stimulated elite overproduction,"Division of society into 5 classes, land for the poor, stimulus to overproduction by the elite",2,4,1,"cennsus, divided population",poors gain popular supports,"Census, Centuriate Assembly, land grants to poor",,,war win,
-540,ItRomRg,3,"Servius Tullius expanded the city -which was protected by a new rampart, moat and wall- to include the Quirinal, Viminal and Esquiline hills. He dedicated a temple to Diana on the Aventine Hill. he wanted to suppress the nexum (voluntary credit contract in which the debitor served the creditor with work if cannot pay off debts) but he failed.",2,4,0,(immiseration) - City expansion,"(state stress) - Urban expansion, failed debt reforms","(crisis) - killing of the king in a conspiracy, power struggle, socio-political tension",2,0,0,"(decline) - City expansion, temple dedication","(rise) - Urban development, social reforms","(rise) - Urban expansion, religious developments",1,1,1,Servius Tullius expanded the city and tried to suppress the nexum but he failed,Servius Tullius expanded the city,"Expansion of the city, construction of temples",3,4,1,city enlargment,expansion of the city,"Rome expanded, temple to Diana",,,influx of population,
-530,ItRomRg,4,"in 535 BC Tullius Servius was killed in a conspiracy by his daughter Tullia and her husband Lucius Tarquinius Superbus, son of Tarquinius Priscus. He stopped the policies pro-population refused to buryTullius Servius put to death senators loyal to the previous king.",0,0,1,(crisis) - Assassination of Servius Tullius,"(crisis) - Political assassination, power usurpation","(growth) - Lucius Tarquinius Superbus rises to power, consolidation of alliances",2,1,0,(decline) - Assassination of Servius Tullius,"(apex) - Political violence, elite conflict","(rise) - Consolidation of power, repulsion of population welfare",1,2,2,Tullius Servius was killed in a conspiracy by his daughter Tullia and her husband Lucius Tarquinius Superbus,"Stop of the policies pro-population refused to buryTullius Servius, put to death senators loyal to the previous king","Killing of Servius Tullius, coronation of Tarquinus Superbus, death of those loyal to the king",4,4,1,"assasination, cange political route",tullia kills tullio,Tullius assassinated,,,"Expansion, Sabine/Etruscan wars",
-520,ItRomRg,4,king Lucius Tarquinius Superbus (r. 535-509 BC) called a meeting of the neighbor states to consolidate alliances. Volsci and Gabii that refused the alliance. Tarquinius defeated Volsci at war.,1,1,1,(growth) - Tarquinius Superbus's reign,"(growth) - Alliance building, military expansion","(growth) - victory in battles, power consolidation",2,1,1,(decline) - Lucius Tarquinius Superbus' reign,"(apex) - Military expansion, alliance building","(apex) - Increased desire for expansion, alliance formation",2,2,0,Volsci and Gabii refused Lucius Tarquinius Superbus' alliance. Tarquinius defeated Volsci at war.,Tarquinius defeated Volsci at war,"Consolidation of the new king, formation of new alliances",4,4,1,war ,alliances,"consolidation of power, Volsci war",,,politics develop,
-510,ItRomRg,4,"war against Gabii. initiallythe Romans were losing. Tarquinius sent his son to pretend to engineer a coup against Rome, but when on the battlefield exposed the Gabii to the defeat. Treaties with Etruscans and Aequi. Foundation of colonies in Circei and Signia.",2,1,2,(immiseration) - War against Gabii,"(growth) - Further territorial expansion, colony establishment","(immiseration) - wars and internal conflicts, the introduction of coinage",2,2,1,"(decline) - Wars, alliances","(decline) - Internal conflicts, political manipulation","(apex) - Military exploits, further consolidations of power",2,2,1,war against Gabii,Treaties with Etruscans and Aequi. Foundation of colonies in Circei and Signia,Victory of the Romans against the Gabii,4,1,1,war ,roman winw war,"War with Gabii, Roman manipulation, colonies founded",,,senators increase,
-500,ItRomRg,4,"the king s son Sextus Tarquinius during a battle went back to Rome and raped Lucretia, wife and daughter to powerful Roman nobles. rebellion against Tarquinius Superbus and his family, who fled in exile. Sextus was killed by Gabii, Tarquinius Superbus tried to reconquer Rome with the help of Etruscans but failed, Brutus and Collatinus are elected consuls.",0,0,2,(crisis) - Rape of Lucretia,"(crisis) - Overthrow of monarchy, establishment of republic","(immiseration) - continued conflict, social unrest, famine crisis",2,2,1,"(decline) - Rape of Lucretia, overthrow of Tarquinius","(decline) - Political crisis, regime change","(apex) - Power struggle in leadership, population unrest, rebellion",2,2,2,Sextus Tarquinius raped Lucretia and he was killed by Gabii,Tarquinius Superbus tried to reconquer Rome with the help of Etruscans but failed,"Rebellion against Tarquinus the Proud and his family, Brutus and Collatinus new consuls",0,1,2,rebellion ,rebellion," rebellion, monarchy ended, consuls elected",,,"Senate reforms, cloaca maxima construction",
-490,ItRomER,0,elite are wealthy patrician families holding the senate. population are poor farmers/artisans summonable in military service (had to pay for the weapons). in 495 Volsci attacked. Conflict of the orders (plebei striked to protest against the debt policy of nexum). Agrippa Menenius promised a reform. victory in Battle of Lake Regillus. introduction of the tribunes of the plebs in 493.,1,1,3,(growth) - Early Roman Republic,"(growth) - New political institutions, plebeian reforms","(elite overproduction) - battles, introduction of more inclusive representation, military development",0,0,2,(rise) - Roman Republic established,"(rise) - New republic, institutional reforms","(decline) - Elite wealth, military invasions, dissatisfaction of the population",1,0,0,"Population are poor farmers/artisans, conflict of the orders, victory in Battle of Lake Regillus","plebei striked to protest against the debt policy of nexum, Agrippa promised a reform","New elite of rich patrician families, population of poor, conflicts of orders, strikes and protests, promise of reforms, introduction of plebeian tribunes",0,1,3,elite dominance,poor populations,"Patrician elite, plebeian unrest",,,king got murdered,
-480,ItRomER,1,"Rome-Volscian wars. the Volsci and their allies Aequi have a falling out, and their armies fight as a result, significantly diminishing the strength of each of them. The Romans defeat the Volsci and Aequi in battle. Tribunes of the plebs have right of veto on laws proposed by senate. the Greeks defeat the Carthaginian at Himera in Sicily in 480 BC",1,1,3,(growth) - Wars,"(growth) - Military victories, political reforms",(elite overproduction) - consolidation of shared secular-sacred authority,0,0,2,"(rise) - Wars, conflict of the orders","(rise) - Military success, political reforms","(decline) - Increase in military conflicts, social power held by religious and political elite",1,1,0,"Rome-Volscian wars, The Romans defeat the Volsci and Aequi in battle", The Romans defeat the Volsci and Aequi in battle. Tribunes of the plebs have right of veto on laws proposed by senate,"Victory of the Romans against the Volsci and the Aequi, right of veto of the plebeian tribunes from the laws of the senate",1,1,4,"more rights, win war",Romans defeat the Volsci,"Romans defeat the Volsci and Aequi in battle, ",,,politycs problems and holes,
-470,ItRomER,1,477 BC: Battle of the Cremera between the Roman Republic and the Etruscan city of Veii. Etruscan win. End of Hallstat culture in Austria and beginning of La Tene culture in Switzerland.,2,2,4,(immiseration) - Defeat by Etruscans,"(immiseration) - Military setbacks, cultural changes","(state stress) - major defeat in battles, social and economic tension",1,0,2,(apex) - Battle of the Cremera,(rise) - Military consolidation,"(decline) - Military defeat, cultural exchange",2,1,0,Battle of the Cremera between the Roman Republic and the Etruscan city of Veii. Etruscan win,Rome lose a battle against Etruscan,Defeat of the Romans against the Etruscans,1,1,0,lost from Etruscan ,etruscan win against rome,"Veii victory, Battle of Cremera",,,"royal support, assassination plot",
-460,ItRomER,1,Romans of this period did not distinguish between what is today termed secular and sacred authority. Consuls often held both religious and political offices and take aruspices before battles,2,2,0,(immiseration) - Religious and political authority,(immiseration) - Religious-political integration,"(crisis) - societal-wide sickness and potential famine, societal disruption",1,0,2,(apex) - Religious and political authority,(rise) - Political/religious integration,"(decline) - Social and power dynamics continue, religious power blends with political",0,1,0,Consuls often held both religious and political offices and take aruspices before battles,Consuls often held both religious and political offices,Roman consuls held both religious and political offices,1,1,1,mix between religion and politics, Consuls often held both religious and political offices,consuls' religious duties,,,"cennsus, divided population",
-450,ItRomER,2,Battle of Mount Algidus in 458 BC the Roman Republic defeats the Aequi in a difficult battle.,2,2,1,(immiseration) - Military success against Aequi.,(immiseration) - Continued military conflicts,"(growth) - victories in battles, including significant ones, construction of vital infrastructures",1,0,0,(apex) - Battle of Mount Algidus,"(rise) - Military success, territorial expansion","(rise) - Political systems adjust to population needs, significant victory",0,1,1,the Roman Republic defeats the Aequi in a difficult battle,Battle of Mount Algidus,Victory of the Romans against the Aequi,1,1,1,war wins,roman win war,"Battle of Mount Algidus, plebeians' military service",,,poors gain popular supports,
-440,ItRomER,2,introduction of Twelve tables law in 449 BC establishing penalties and procedures for enforcing ritual and customary practices.,2,3,1,(immiseration) - Twelve Tables,"(elite overproduction) - Legal codification, formalization of power","(growth) - victories in battles, important reforms",1,0,0,(apex) - Twelve Tables,"(rise) - Legal codification, institutional development","(rise) - Increase in infrastructure, health crisis managed by external aid",0,1,1,enforcing ritual and customary practices with introduction of Twelve tables,introduction of Twelve tables law,New practices and laws,1,1,1,political develop,penalties establishment,"Twelve Tables law, enforcement",,,"Census, Centuriate Assembly, land grants to poor",
-430,ItRomER,2,Battle of Fidenae (437 BC). Romans defeat an alliance of Veii and Fidenae.,2,3,2,(immiseration) - Victory against Veii and Fidenae.,(elite overproduction) - Military expansion continues,"(immiseration) - growing socioeconomic disparity, introduction of salarium",1,0,0,(apex) - Battle of Fidenae,"(rise) - Military victories, territorial consolidation",(rise) - Successful military strategies leading to significant victories,0,1,1,"Battle of Fidenae, romans win",Battle of Fidenae,Roman victory against the Veii and Fidanae alliances,1,1,1,war wins,roman win against alliance,"Battle of Fidenae, Veii defeated",,,city enlargment,
-420,ItRomER,3,"equites (financer of the war) were almost always patricians, however by the 5th century BC equestrian status was defined by wealth instead of heredity. Any citizen male above a certain level of property was an eques. war was a sort of investment.",3,3,2,(elite overproduction) - Military reforms,(elite overproduction) - Wealth-based status system,"(immiseration) - loss in Battle of Allia River, marked increase in state stress",1,1,0,(apex) - Definition of equites,"(apex) - Social mobility changes, military-economic integration","(rise) - Significant military victory, economic development",1,1,1,war was a sort of investment,"Social lift, equestrian status was defined by wealth instead of heredity, war was an investment",Wars considered investments for Roman financiers,1,2,1,division from rich and poor,financer of the war,"Equites expanded by wealth, war as investment",,,expansion of the city,
-410,ItRomER,3,"in 412 BC epidemic of an unknown disease probably influenza was reported in Northern Greece by Hippocrates and in Rome by Livy, The disease outbreak caused a food shortage in the Roman Republic, and a famine was only prevented with food relief from Sicily and Etruria, and via trade missions",3,4,3,(elite overproduction) - Epidemic,"(state stress) - Disease outbreak, food crisis","(elite overproduction) - victories in battles, elite becoming increasingly wealthy",2,1,0,"(decline) - Epidemic, food shortage","(apex) - Economic stress, food crisis","(rise) - Military innovation, infrastructure improvements",2,2,2,"epidemic of an unknown disease in Rome, food shortage in the Roman Republic","Disease outbrake, famine was only prevented with food relief from Sicily and Etruria and via trade missions","Epidemic, food shortage, famine avoided thanks to the help of Sicily and Etruria",2,2,2,resource crisis,disease,"Epidemic, famine relief from trade",,,"Rome expanded, temple to Diana",
-400,ItRomER,4,"in 406 BC the Senate introduce a pay (salarium) for military service during prolonged campains against Veii to compensate the men serving in this struggle for the labor they lost on their family farms. probable financial distress. Gauls occupy the east coast of Italy (Ager Gallicus), and founded the capital of Sena Gallica (current Senigallia)",3,4,4,(elite overproduction) - Military pay,"(state stress) - Financial strain, military reforms","(state stress) - debt problems, uprisings, opposition towards the elites",2,1,1,"(decline) - Financial distress, pay for military service","(apex) - Military reforms, financial pressure","(apex) - Expansion, introduction of monetary system",2,2,2,probable financial distress,"the Senate introduce a pay (salarium) for military service, Senigallia was born","Introduction of wages for military service, probable financial hardship, the Gauls occupy the eastern coast of Italy",3,2,3,military carear,campains against Veii,"Pay for military service, finacial strain",,,rebellion,
-390,ItRomER,4,"Marcus Furius Camillus is made dictator (general) and conquers Veii. Rome doubles its territory. after the victory Camillus rejected both the land redistribution and the uncontrolled Roman population of Veii. Consequently, he was impeached and banished from Rome by his political adversaries",0,4,0,(crisis) - Sack of Rome by Gauls,"(state stress) - Political conflicts, territorial expansion","(crisis) - hostilities with Brennus and his forces, defeat, the decline of Camillus's popularity",2,2,1,"(decline) - Conquest of Veii, Camillus' banishment","(decline) - Political conflicts, territorial overextension","(apex) - Military defeat, political unrest and subterfuge",0,2,0,"Marcus Furius Camillus is made dictator, Rome doubles its territory",Rome doubles its territory.,"New general Marco Furio Camillio, conquest of Veii, Marco Furio exiled for not wanting to distribute the lands",3,2,4,border expansion,land restribution,"Battle of Allia, Rome sacked by Brennus, ransom",,,rebellion,
-380,ItRomER,0,"The Romans were defeated by Brennus of Senones in the Battle of Allia River in 387 BC. The Senones besieged Rome but probably the health conditions were bad and accepted a ransom in gold and silver to leave the city. Brennus cheated when weighting the gold and Romans, helped by the returned Furius Camillus, defeated Brennus.",1,0,1,(growth) - Camillus's triumph,"(crisis) - Gallic invasion, sacking of Rome","(growth) - defensive construction projects, victories in battles, recovery from the crisis",2,2,1,"(decline) - Battle of Allia River, Roman defeat","(decline) - Military defeat, city captured","(apex) - Expansion of control, war victories, increased celebration of military leaders",1,2,0,The Romans were defeated by Brennus of Senones in the Battle of Allia River,The Romans were defeated by Brennus of Senones in the Battle of Allia Rive,"Romans defeated at Allia, Rome besieged, poor health conditions, Roman victory against Brenno thanks to the return of Marcus Furius Camillio",4,2,0,war lost,Romans were defeated by Brennus,"Romans defeat Brennus, return of Camillus",,,"rebellion, monarchy ended, consuls elected",
-370,ItRomER,1,"elite are rich senators, population are farmers/merchants that become soldiers when needed. ideology is again to check rulers. Camillus celebrated a Triumph in Rome. He was celebrated as the second founder of Rome. in 378 the Servian Wall is constructed around Rome to prevent the city from being captured or sacked.",1,1,1,(growth) - Construction of the Servian Wall.,"(growth) - Recovery, wall construction, new ideology","(growth) - positive transformations of military infrastructures, increasing patrician control",0,0,1,"(rise) - Camillus' triumph, Servian Wall","(rise) - Recovery period, defensive improvements","(apex) - Political power held by elite, cultural exchanges and healthcare developments",1,2,1,Camillus was celebrated as the second founder of Rome,ideology is again to check rulers. Camillus celebrated a Triumph in Rome. He was celebrated as the second founder of Rome,"Constitution of a new elite, citizens become soldiers when necessary, construction of Roman walls to avoid looting, triumph of Camillio",4,2,1,power to few,celebrate the second Founder,"Senate elite, plebeian opposition",,,elite dominance,
-360,ItRomER,1,"Consuls were drawn from the senatorial elite. Financial crisis provoked a second conflict of the orders  367 BC when plebeians for the first time entered the senate. A deadly pestilence struck Rome in the 365 and many Roman notables died including Camillus. His death was deeply mourned, as the second founder of Rome",2,1,2,(immiseration) - Second Conflict of Orders,"(growth) - Political reforms, social integration","(immiseration) - power struggles, legal reforms, warfare, domestic clashes",0,0,1,"(rise) - Conflict of the orders, pestilence","(rise) - Political reforms, social integration","(apex) - Introduction of protective amour, reformation of alliances",2,2,2,"deadly pestilence struck Rome in the 365, Camillus dies","Financial crisis provoked a second conflic, A deadly pestilence struck Rome","Pestilence, death of many Romans, death of Camillio",0,2,2,financial crisis,financial crisis,Conflict of the Oriders,,,poor populations,
-350,ItRomER,1,"between 360s and 350s Roman soldiers were provided with protective armour against blows of swords. Both smooth iron helmets and brass-rimmed shields were made. Also, long pikes were distributed to keep the enemy s swords at a distance. new warfare techniques introduced. Romans defeat the Volsci and restore the alliance Latin League (that payed tributes)",2,2,2,(immiseration) - Military reforms,"(immiseration) - Military modernization, tributary system","(immiseration) - financial stress due to constant warfare, new offensive and defensive strategies",0,0,2,"(rise) - New warfare techniques, Latin League","(rise) - Military modernization, successful expansion","(decline) - Political power struggles, upset within social classes",0,0,0,Romans defeat the Volsci and restore the alliance Latin League,Romans defeat the Volsci and restore the alliance Latin League,"Recovery of Rome from the death of Camillio, new tools and techniques of war, victory of the Romans against the Latin League",1,2,3,military develop,military overproduction,Protective armor introduced,,,"Patrician elite, plebeian unrest",
-340,ItRomER,2,Rome (dominant in central Italy) and Carthage (dominant in south-west Italy) make a trade agreement under which Carthage will not attack those Latin League cities which are faithful to Rome. Coinage is introduced into Rome for the first time. Samnites wars. Romans win the Battle of Mount Gaurus,2,2,3,(immiseration) - Samnite Wars,"(immiseration) - Trade agreements, monetary reforms","(elite overproduction) - successful wars, system of conscription and militarization",1,0,2,"(apex) - Trade agreement with Carthage, coinage","(rise) - International agreements, monetary reforms","(decline) - External threats, military conflicts, socio-political transformations",0,1,1,"Romans win the Battle of Mount Gaurus, Pact of Carthage","Trade agreement with Carthage, romans win the Battle of Mount Gaurus","Commercial agreement between Rome and Carthage, first Roman currency, victory of the Romans at Gauro",2,2,4,political agreament whit neighbour,Romans win the Battle of Mount Gaurus,"Trade agreement with Carthage, Samnite wars",,,border expansion,
